yearID,lgID,hits,atbat,doubles,triples,homeruns,singles,slug_perc
1966,AL,13005,54082,2021,408,1365,9211,0.36864391109796235
1999,AL,21447,78126,4121,419,2635,14272,0.4391751785577145
1960,NL,10745,42176,1722,384,1042,7597,0.38792204097116845
2020,NL,7245,29399,1402,126,1161,4556,0.42117078812204495
1954,AL,10766,41909,1639,386,823,7918,0.37333269703405
2017,NL,20985,82533,4203,461,2935,13386,0.423042904050501
2004,AL,21251,78731,4232,404,2605,14010,0.4331965807623427
1997,AL,21171,78235,4097,398,2477,14199,0.42813318847063336
2015,AL,21159,82836,4166,459,2634,13900,0.41220000965763676
1975,NL,17002,66102,2781,458,1233,12530,0.36909624519681705
1991,AL,20195,77603,3680,453,1953,14109,0.39483009677460923
1954,NL,11142,42027,1816,403,1114,7809,0.40702405596402313
1985,NL,16596,65818,2861,437,1424,11874,0.37380351879425083
1995,NL,18184,69049,3367,418,1917,12482,0.40750771191472723
1974,AL,17062,66044,2564,400,1369,12729,0.3714644782266368
1969,AL,16120,65536,2385,378,1649,11708,0.369384765625
2021,AL,19962,81337,3956,317,3059,12630,0.41468212498616863
1959,AL,10621,41964,1690,267,1091,7573,0.3840911257268135
2015,NL,20947,82652,4076,480,2275,14116,0.39694139282775975
1960,AL,10689,41838,1720,274,1086,7609,0.38756632726229745
1953,AL,11117,42358,1816,331,879,8091,0.3832097832758865
2002,AL,20519,77788,4218,433,2464,13404,0.42416568108191494
1965,AL,13158,54362,2077,365,1370,9346,0.36928369081343587
1948,AL,11212,42155,1846,450,710,8206,0.3816391887083383
1995,AL,18791,69522,3591,406,2164,12630,0.42700152469721814
2016,NL,20977,82635,4100,502,2657,13718,0.41207720699461486
1984,NL,16842,65919,2770,451,1278,12343,0.36936239930824194
1946,NL,10762,42094,1752,382,562,8066,0.355490093600038
1970,NL,17151,66465,2743,554,1683,12171,0.3919506507184232
2014,AL,21033,83123,4132,390,2161,14350,0.39012066455734273
1981,NL,11141,43654,1881,354,719,8187,0.3639299949603702
1999,NL,23880,89011,4619,512,2893,15856,0.42918290997741854
2004,NL,23271,88622,4687,494,2846,15244,0.42296495226918823
1986,NL,16643,65730,2991,387,1523,11742,0.37999391449870684
1979,AL,20682,76704,3529,548,2006,14599,0.4083880892782645
1983,NL,16781,65717,2753,484,1398,12146,0.37579317376021426
1959,NL,11015,42330,1788,324,1159,7744,0.3999055043704229
1993,NL,20427,77489,3588,513,1956,14370,0.3988824220211901
1977,NL,17465,66700,3033,526,1631,12275,0.39644677661169414
1977,AL,20572,77275,3408,644,2013,14507,0.4051374959560013
1986,AL,20237,77376,3520,468,2290,13959,0.4079171836228288
1988,AL,19967,77005,3558,425,1901,14083,0.39059801311603143
1957,NL,11162,42919,1733,365,1178,7886,0.3997996225447937
1964,AL,13637,55180,2109,333,1551,9644,0.38175063428778544
1955,AL,10802,41817,1574,338,961,7929,0.381065117057656
1984,AL,20539,77910,3443,534,1980,14582,0.39776665383134385
2016,AL,21299,82926,4154,371,2953,13821,0.4227142271422714
2003,AL,20931,78311,4170,443,2499,13819,0.4275772241447562
1951,NL,11088,42704,1746,367,1024,7951,0.38965904833270887
1990,AL,19900,76800,3559,460,1796,14085,0.3875911458333333
2009,AL,20783,77965,4131,388,2560,13704,0.4280125697428333
1994,NL,14695,55068,2784,377,1532,10002,0.41456018014091667
1962,AL,14068,55239,2238,400,1552,9878,0.3939607885732906
1998,AL,21276,78416,4248,408,2499,14121,0.43150632523974697
1962,NL,14453,55449,2075,453,1449,10476,0.39281141228876987
1950,AL,11474,42407,1829,423,973,8249,0.4024807225222251
2008,AL,20901,78119,4285,408,2270,13938,0.4200258579858933
1961,NL,11029,42128,1749,350,1196,7734,0.4050987466767945
